Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-May-24,19274.35,19287.75,18910.8,18971,27119775,3693.1
31-May-24,19015.5,19067.15,18732.35,18796.3,48740806,7849.74
03-Jun-24,19206.9,19213,18831.05,18864.15,24355853,2908.35
04-Jun-24,18942.4,18977.8,17904.75,18603.15,43810941,4315.43
05-Jun-24,18789.75,19354.8,18655.9,19281.25,31637560,3638.35
06-Jun-24,19365.55,19365.6,19056.75,19232.1,40199445,3475.8
07-Jun-24,19297.95,19596.7,19270.1,19578,35878807,3715.14
10-Jun-24,19696.55,19809.9,19629.85,19774.7,26328293,3408.79
11-Jun-24,19853.65,19868.45,19666.15,19689.7,22222915,2535.9
12-Jun-24,19763.15,19794.05,19658.05,19739.1,16038945,1964.21
13-Jun-24,19842.55,19878.25,19706.55,19838.5,15582684,2499.74
14-Jun-24,19860.25,19918.65,19821.4,19895.65,17238165,2077.33
18-Jun-24,19907.5,19927.9,19710.9,19826.65,26093537,3333.48
19-Jun-24,19894.65,19904.5,19618.25,19644.5,21648813,2681.53
20-Jun-24,19594.75,19606.85,19477.7,19544.55,21838787,2518.9
21-Jun-24,19593.75,19757.75,19491.5,19528.4,34671904,3564.86
24-Jun-24,19511.85,19627.15,19442.45,19521.15,23369134,2727.86
25-Jun-24,19579.9,19630.6,19455.85,19532.3,15140389,2109.13
26-Jun-24,19528.85,19601.4,19433.35,19545.35,26775476,2801.27
27-Jun-24,19549.05,19631.15,19414.9,19514.8,32816996,5512.29
28-Jun-24,19557.65,19797.9,19555.65,19731.55,23365972,3183.02
01-Jul-24,19794.85,19823.35,19660.95,19758.25,24633851,2780.55
02-Jul-24,19776.7,19818.75,19697.35,19786.4,20220608,2220.95
03-Jul-24,19813.55,19965.8,19707.9,19915.3,24458874,2755.16
04-Jul-24,19955.7,20238.6,19872.95,20192.6,33820156,3933.38
05-Jul-24,20237.5,20516.1,20230.1,20453.85,41392741,4264.82
08-Jul-24,20493.2,20575.35,20283,20325.8,21632374,2597.79
09-Jul-24,20396.7,20670.85,20308,20645.8,20688352,3107.89
10-Jul-24,20731.2,20743.1,20351.35,20725.95,20224166,2852.52
11-Jul-24,20781.8,20804.25,20525.5,20601.7,18049072,2546.54
12-Jul-24,20631.1,20653.35,20501.15,20612.65,16294554,2427.67
15-Jul-24,20705.8,20960.3,20675.2,20844.55,22877185,3577.76
16-Jul-24,20869.95,20913.5,20729.85,20765.45,14584799,2157.37
18-Jul-24,20737,20805.25,20563.7,20768.35,19400996,2637.82
19-Jul-24,20706.15,20722.2,20398.45,20425.4,15806460,1862.58
22-Jul-24,20319.7,20716.45,20275.25,20641.55,15762180,2166.55
23-Jul-24,20644.85,20788.4,20329.45,20755.35,20708576,2729.4
24-Jul-24,20790.55,20962.55,20670.25,20908.5,23302300,3131.39
25-Jul-24,20817.45,21139.3,20739.15,21105.5,30322479,3218.86
26-Jul-24,21184.6,21703.3,21159,21603.1,37680951,4826.5
29-Jul-24,21701.55,21745.25,21474.75,21674.95,25966670,4162.37
30-Jul-24,21667.4,21754.95,21516.5,21540.8,19478291,2700.19
31-Jul-24,21566.65,21824.7,21566.65,21777.15,32594574,4203.64
01-Aug-24,21840.15,21875.15,21694.9,21790.35,26436489,3848.38
02-Aug-24,21620.4,22005.1,21528.65,21902.85,23537250,3419.47
05-Aug-24,21526.8,21878.8,21501.8,21583.05,29592435,4330.4
06-Aug-24,21669.65,21877,21537.45,21562.55,20225397,2886.91
07-Aug-24,21755.65,22050.3,21682.75,22036.95,30450917,4525.57
08-Aug-24,22065.65,22301.05,22033.7,22114.25,29533070,4928.22
09-Aug-24,22239.7,22299.45,22155.25,22209.55,31725860,4045.6
12-Aug-24,22209.05,22262.5,22109.2,22205.6,27752942,4017.31
13-Aug-24,22303.8,22326.55,22152.55,22191.6,28333757,4165.41
14-Aug-24,22276.85,22276.85,21945.9,22012.7,23797680,3511.35
16-Aug-24,22127.6,22152.9,21933.7,22106.5,28790755,4419.85
19-Aug-24,22200.9,22292.5,22124.7,22237.85,17000581,2440.23
20-Aug-24,22313.95,22385,22179.75,22374.25,18579462,2515.27
21-Aug-24,22420.9,22588.65,22349.75,22577.9,20684477,3334.9
