Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
18-Jun-24,9957.3,9988.05,9881.15,9890.2,100283143,3533.59
19-Jun-24,9933.1,9937.8,9747.05,9773.3,87078741,3034.09
20-Jun-24,9803.25,10016.35,9764.7,9951.05,160836809,5540.57
21-Jun-24,9988.75,10042.85,9910,9990.9,219627213,7841.58
24-Jun-24,9912.85,9967.65,9807.4,9926.85,148189509,5007.26
25-Jun-24,9961.9,9994.5,9833.2,9857.45,115550700,3943.33
26-Jun-24,9821.25,9832.55,9701.3,9714.3,291002593,10958.9
27-Jun-24,9720.8,9814.85,9646.1,9767.4,195799873,6736.79
28-Jun-24,9793.5,9889.25,9784.65,9814.3,171059458,4662.96
01-Jul-24,9849.65,9913.65,9842.3,9882.8,126300215,4105.62
02-Jul-24,9901.95,9942.6,9798.35,9835.7,128477772,4011.6
03-Jul-24,9868.9,9952.8,9835.55,9940.1,115881154,3769.51
04-Jul-24,9989.5,10027.95,9928.5,9936.8,115116546,3592.97
05-Jul-24,9943.25,10004.75,9898.4,9970.5,162604047,4384.32
08-Jul-24,9992.85,9993.7,9840.8,9877.35,133276546,3862.43
09-Jul-24,9923.55,9957.7,9853.35,9881.9,110314698,3575.19
10-Jul-24,9899.8,9921.85,9600.1,9722.8,151866269,4235.47
11-Jul-24,9792.4,9819.7,9694.85,9723.25,113550085,3641.46
12-Jul-24,9763.95,9782.75,9653.15,9708.2,88455509,2748.29
15-Jul-24,9721.55,9752.65,9635.05,9729.6,116821805,3201.13
16-Jul-24,9775,9821.9,9708.3,9722,99863949,3501.39
18-Jul-24,9719.95,9724.1,9587.7,9636.95,127812504,4201.35
19-Jul-24,9611.35,9614,9241.15,9256.3,180759298,4753.68
22-Jul-24,9211.25,9366.1,9154.55,9350.6,120291735,3604.33
23-Jul-24,9383.6,9391.8,8964.05,9263.1,160395993,4998.01
24-Jul-24,9272.4,9328.95,9225.35,9267.15,123143828,3828.9
25-Jul-24,9152.95,9181.45,9093.75,9148,136549396,4104.71
26-Jul-24,9240.05,9448.35,9215.75,9423.4,139289980,4519.25
29-Jul-24,9510.75,9520.35,9416.85,9450.3,127840532,4616.24
30-Jul-24,9441.55,9512.45,9367.4,9468.35,100953547,3429.28
31-Jul-24,9550.75,9611.1,9499.75,9583.4,140814036,4495.67
01-Aug-24,9690.85,9759.6,9513.6,9573.2,238364255,7698.27
02-Aug-24,9440.35,9448.3,9301.5,9314.55,161600204,4988.3
05-Aug-24,9077.2,9100.05,8797.6,8862.5,238900110,6486.08
06-Aug-24,8955.55,9086.65,8865,8888.95,133453734,4186.55
07-Aug-24,9064.25,9152.05,8993.45,9128.45,104481503,3492.94
08-Aug-24,9115,9115.8,8953.8,8969.25,125317082,3799.32
09-Aug-24,9086.75,9099.05,8987.3,9038.3,145898869,3252.54
12-Aug-24,8970.2,9149.3,8902.6,9106.25,143004291,6652.77
13-Aug-24,9164.1,9171.5,8941.15,8957.15,115937555,3913.22
14-Aug-24,8989.25,8992.8,8727.8,8844.3,225381729,5770.56
16-Aug-24,8938.7,9009.7,8871.75,8994.1,162387499,4761.38
19-Aug-24,9033.45,9173.35,9031.45,9161.95,178500023,5332.71
20-Aug-24,9224.9,9225.25,9132.7,9204.65,147497409,4535.83
21-Aug-24,9185.2,9313.55,9174.45,9264.05,125560931,3898.95
22-Aug-24,9309.7,9333,9273.15,9326.25,104043607,3442.33
23-Aug-24,9344.45,9352.45,9273.3,9290.5,91657668,3093.93
26-Aug-24,9349.8,9512.2,9322.6,9490.75,157508211,4913.41
27-Aug-24,9499.9,9518.45,9424.3,9432.75,117505583,4017.38
28-Aug-24,9460.65,9461.2,9375.5,9414.8,82551286,2960.88
29-Aug-24,9392.35,9404.9,9266.65,9369.95,116801539,3905
30-Aug-24,9390.65,9457.2,9369.9,9405.25,141815022,5239.21
02-Sep-24,9437.6,9449.25,9276.6,9307.15,85528728,3265.11
03-Sep-24,9331.4,9344.05,9245.4,9254.75,85101987,3390.18
04-Sep-24,9136,9222.35,9111.1,9185.5,113272613,3542.45
05-Sep-24,9213.8,9249.2,9198.75,9212.95,76374904,2473.89
06-Sep-24,9224.85,9263.45,9101.95,9161.15,99906744,3364.21
09-Sep-24,9136.1,9137.55,8993.35,9099,101128358,3194.56
10-Sep-24,9140.65,9231.75,9100.05,9156.2,96812615,2761.19
11-Sep-24,9160.05,9169.7,9010.25,9028.2,75605123,2399.23
12-Sep-24,9144.35,9305.6,9068.95,9290.85,154688891,4328.49
13-Sep-24,9342.9,9442.65,9327.55,9370.65,139347485,4006.85
16-Sep-24,9432.8,9500.85,9406.4,9427.7,124788003,4156.01
17-Sep-24,9445.35,9463.9,9369.6,9388.15,67283045,2203.66
18-Sep-24,9381.75,9384.2,9253.95,9310.55,67930943,2058.29
19-Sep-24,9370.9,9387.1,9122.95,9251.2,122424122,3749.34
20-Sep-24,9337.85,9451.7,9329.1,9404.3,151645257,5341.3
23-Sep-24,9461.65,9466.35,9403.4,9454.85,87643422,2569.2
24-Sep-24,9531.35,9745.3,9522.15,9735.4,335875600,9046.98
25-Sep-24,9816.75,9869.5,9734.65,9777.15,202845771,5905.87
26-Sep-24,9793.4,9999.2,9702.75,9985.7,277990303,8152
27-Sep-24,10058.85,10167.4,10043.65,10064.6,240754548,7713.19
30-Sep-24,10124.1,10263.65,10119.65,10198.35,261831084,7825.69
01-Oct-24,10214.25,10236.2,10061.85,10222.95,201286952,5935.77
03-Oct-24,10129.8,10322.05,10123.75,10155,209377372,6583.92
04-Oct-24,10150.85,10250.65,9979.4,10113.2,149046670,4632.79
07-Oct-24,10157.75,10177.6,9778.9,9886.3,150286175,4635.47
08-Oct-24,9817.55,9836.75,9574.7,9794.45,204741034,5568.5
09-Oct-24,9779.1,9914.65,9724.5,9800.75,133733442,3791.79
10-Oct-24,9799.65,9882.4,9779.75,9839.95,103537685,3544.57
11-Oct-24,9858.15,10011.8,9855.85,9932.7,144977252,3920.7
14-Oct-24,9968.05,10062.65,9881.45,9905,118994019,3254.61
15-Oct-24,9938.6,9956.35,9722.65,9762.05,94975383,3021.18
16-Oct-24,9743.5,9828.7,9694.1,9741.7,93791418,3121.55
17-Oct-24,9786.9,9816.3,9574.85,9603.3,136720195,4779.1
18-Oct-24,9579.15,9780,9484.2,9753.9,132863255,3843.95
21-Oct-24,9802.8,9858.75,9594.1,9606.8,90889690,2766.51
22-Oct-24,9597.1,9627,9301.45,9318.8,123054442,3655.47
23-Oct-24,9315.65,9432.25,9247.35,9295.25,146004114,4052.99
24-Oct-24,9304.05,9314.7,9151.15,9273.45,93795090,3409.92
25-Oct-24,9295.25,9300.3,8924.55,9048.95,152585120,4291.63
28-Oct-24,9056.6,9314.7,9001.75,9278.4,102274255,2880.71
29-Oct-24,9297.7,9358.25,9097.3,9338.75,96312891,3034.65
30-Oct-24,9305.35,9427.85,9267.75,9342.45,77872056,3031.35
31-Oct-24,9338.95,9365.6,9279.45,9326.85,88685214,2707.39
01-Nov-24,9376.8,9414.7,9371.75,9390.3,16513870,484.68
04-Nov-24,9393.5,9398.7,9118.7,9242.9,101337079,2923.83
05-Nov-24,9245.5,9525.3,9234.1,9505.4,141194820,4003.21
06-Nov-24,9557.7,9671.25,9399.85,9656.45,173663944,5216.4
07-Nov-24,9646.25,9657.75,9355.9,9392.85,207194045,6489.03
08-Nov-24,9432.4,9473.8,9262.35,9308.9,194601720,4914.69
11-Nov-24,9281.6,9294.35,9166.3,9216.25,116293233,3086.15
12-Nov-24,9266.15,9304.45,9049.9,9078.5,125686813,3765.39
13-Nov-24,9039.25,9061.45,8802.2,8836.75,138289275,3484.03
14-Nov-24,8866.8,8948.6,8812.9,8828.7,120626592,3207.08
18-Nov-24,8918.3,9129.65,8894.8,8996.65,219983024,5958.48
19-Nov-24,9017.35,9067.8,8897.55,8920.35,116314235,3045.71
21-Nov-24,8816.05,8832.5,8652.15,8717.4,200854396,9274.03
22-Nov-24,8712.1,8872.15,8658.35,8846.2,140152154,7588.9
25-Nov-24,8973.6,8978.95,8865.95,8883,167172101,6569.41
26-Nov-24,8907.3,8981.05,8867.3,8916.7,99798195,4148.92
27-Nov-24,8930.2,9004.05,8864.1,8987.35,94271316,5993.16
28-Nov-24,9020.45,9074.85,8947,8964.85,106861629,6189.98
29-Nov-24,8994.55,9074.2,8955.35,9034,99936588,4655.14
02-Dec-24,9032.5,9143.6,8996.3,9133.6,71226099,2724.62
03-Dec-24,9175.05,9261.9,9169.65,9246.25,101442433,3501.55
04-Dec-24,9264.7,9283.65,9155.85,9230.1,97139367,3000.13
05-Dec-24,9251.4,9325.45,9154.65,9282.75,98350609,3374.92
06-Dec-24,9300.3,9416.6,9270.1,9397.15,109617164,3589.82
09-Dec-24,9397.6,9462.4,9299.85,9455.25,118493160,3541.34
10-Dec-24,9496.95,9562.3,9427.85,9475.35,116614033,3753.05
11-Dec-24,9483.4,9605.35,9450.15,9483.65,102880164,3781.52
12-Dec-24,9522.55,9537.7,9417.4,9507.75,160700653,5066.78
13-Dec-24,9460.7,9465.1,9239.1,9439.3,146811459,4039.96
16-Dec-24,9446.45,9469.9,9311.7,9347.75,77011638,2461.06
17-Dec-24,9332.8,9357.3,9171.15,9194.95,91469920,2907.26
18-Dec-24,9207.5,9220.6,9030.65,9069.9,102954431,2827.67
19-Dec-24,8901.35,8989.1,8854.7,8977.2,84496658,2586.24
20-Dec-24,8981.8,9051.2,8788.95,8813.25,156800704,6089.18
23-Dec-24,8902.05,8979.45,8828.45,8891.4,107773004,3142.17
24-Dec-24,8875.3,8897,8786.8,8817.6,98108981,2960.29
