Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
12-Mar-24,20867.95,21069.85,20647.85,20897.5,161838433,16269.72
13-Mar-24,20928.4,20960.45,20696.75,20758.2,174507234,16479.17
14-Mar-24,20725.3,20864.2,20590.5,20725.9,135307354,12969.47
15-Mar-24,20617.65,20706.45,20530.35,20644.3,291039029,30364.4
18-Mar-24,20572.95,20703.25,20413.15,20626.65,87705964,7851.98
19-Mar-24,20552.5,20651.6,20541.3,20601.95,121379581,11384.07
20-Mar-24,20591,20689.85,20362.8,20544.25,127574026,12315.55
21-Mar-24,20692.45,20822.75,20656.85,20714.8,134066892,12347.31
22-Mar-24,20693.75,20846.05,20667.35,20783.55,119873388,12281
26-Mar-24,20629.6,20769.35,20629.25,20705.95,139093052,14368.33
27-Mar-24,20737.25,20861.25,20737.25,20792.4,220854620,22196.49
28-Mar-24,20809.4,21141.75,20809.35,20989.1,153855811,17190.08
01-Apr-24,21108.75,21237.5,21100.2,21198.4,86119486,8407.06
02-Apr-24,21157.25,21220.45,21118.65,21150.95,113350315,11963.16
03-Apr-24,21069.3,21261.25,21065.25,21197.25,127342126,13948.78
04-Apr-24,21390.1,21457.45,21220.5,21373.5,159333122,18409.17
05-Apr-24,21375.4,21579.65,21294.95,21556.65,112773634,12896.46
08-Apr-24,21613.3,21669.15,21552.95,21604.5,91793543,7853.58
09-Apr-24,21716.55,21758.35,21625.15,21682.2,89560025,8649.53
10-Apr-24,21748.5,21754.25,21670.7,21717.7,99017977,9456.03
12-Apr-24,21584.95,21665,21484.35,21521.8,111257558,11643.95
15-Apr-24,21292.65,21377.3,21130.35,21146,82364525,8220.8
16-Apr-24,20996.95,21145.95,20964.1,21099.25,93464685,9249.22
18-Apr-24,21142.75,21228.2,20862,20899.45,124406739,13017.83
19-Apr-24,20758.95,21211.1,20694.35,21173,110031923,11131.1
22-Apr-24,21409.1,21409.7,21194.45,21326.5,97586621,10770.46
